Model,Node Memory Capacity (MB),# of Nodes,# of Bandwidth Classes,Bottleneck Latency (s)
EfficientNetB1,128,20,20,0.05736861968
EfficientNetB1,64,50,2,0.2677384873
EfficientNetB1,64,50,5,0.2660275193
EfficientNetB1,64,50,8,0.2689329421
EfficientNetB1,64,50,11,0.2701424999
EfficientNetB1,64,50,14,0.2688936215
EfficientNetB1,64,50,17,0.2252927963
EfficientNetB1,64,50,20,0.224810366
EfficientNetB1,128,50,2,0.04737409795
EfficientNetB1,128,50,5,0.04680384457
EfficientNetB1,128,50,8,0.04721456907
EfficientNetB1,128,50,11,0.0473872536
EfficientNetB1,128,50,14,0.04726997376
EfficientNetB1,128,50,17,0.04607363959
EfficientNetB1,128,50,20,0.04771860093
